AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,timestamp
24,1.8,0.31,0.18,2.2,11,13,50,41,32,0,58,3.4,1.9,311,310,3,2.1,1388728800
22,1.8,0.34,0.19,2.3,15,17,45,56,36,0,62,4.3,1.9,314,319,2.5,2,1388732400
22,1.8,0.42,0.22,3.1,26,29,30,68,34,0,65,8,2,309,314,1.5,1.4,1388736000
21,1.8,0.53,0.32,2,22,24,26,73,45,0,70,3.8,2.1,42,48,1.6,0.6,1388739600
20,1.8,0.55,0.24,1.3,25,26,19,72,40,0,71,3.8,2,54,57,1.4,1.3,1388743200
20,1.8,0.6,0.3,2.7,29,32,10,70,41,0,73,3.8,2.1,48,46,1.2,0.7,1388746800
20,1.8,0.49,0.23,1.6,19,20,20,61,23,0,72,3.3,2,61,61,1.8,1.2,1388750400
20,1.8,0.28,0.06,1.1,6.1,7.2,37,53,29,0,66,2.2,1.8,95,82,1.4,2.5,1388754000
20,1.8,0.35,0.2,1.1,9.6,11,29,50,23,0,69,2.3,2,6.5,63,1.5,0.4,1388757600
19,1.8,0.37,0.22,1.4,11,12,22,52,37,0,74,2.2,2,45,31,1.4,0.5,1388761200
19,1.8,0.35,0.24,0.8,11,12,20,49,27,0,76,2.1,2,29,36,1,0.6,1388764800
18,1.8,0.35,0.18,1.1,11,12,15,41,27,0,79,1.7,2,54,45,0.8,0.7,1388768400
18,1.8,0.32,0.53,1,9.7,11,17,40,14,0,79,1.5,2.4,346,37,1,0.5,1388772000
17,1.8,0.33,0.28,1.2,9.6,11,22,37,20,0,75,1.8,2.1,30,79,1.6,0.8,1388775600
17,1.8,0.32,0.24,1.3,7.5,8.7,26,37,22,0,73,1.9,2,50,34,1.3,0.5,1388779200
16,1.8,0.33,0.22,1.1,7.5,8.6,26,40,24,0,75,1.7,2,23,94,1.4,0.5,1388782800
17,1.8,0.35,0.09,1.2,7.2,8.4,33,52,26,0,74,1.9,1.9,58,62,1.8,0.9,1388786400
17,1.8,0.41,0.1,1.3,7.5,8.8,40,53,33,0,69,2.3,1.9,63,60,1.6,0.6,1388790000
18,1.8,0.43,0.1,1.6,8,9.7,41,55,48,0,66,2.9,1.9,78,69,2.6,1.1,1388793600
18,1.8,0.43,0.09,1.9,7.1,9,47,53,50,0,64,3.6,1.9,56,48,3,2.3,1388797200
19,1.8,0.47,0.11,2,8.1,10,49,73,49,0,62,4.2,1.9,56,53,2.6,2,1388800800
19,1.8,0.53,0.14,2.2,9.7,12,54,85,45,0,55,5.3,2,352,301,3.3,0.8,1388804400
19,1.8,0.55,0.16,2.2,11,13,58,105,63,0,51,5.7,2,70,345,3.1,0.1,1388808000
20,1.8,0.51,0.17,1.9,11,12,62,107,63,0,49,5.5,2,310,63,2.5,0.4,1388811600
19,1.8,0.48,0.18,1.9,10,12,60,118,62,0,49,5.2,2,139,81,2.7,0,1388815200
18,1.8,0.53,0.14,1.8,12,13,56,115,55,0,51,5.9,1.9,83,80,2,0.8,1388818800
18,1.8,0.59,0.23,1.7,15,16,52,124,56,0,55,6.6,2,77,111,2.1,0.4,1388822400
16,1.8,0.7,0.18,1.6,18,20,46,128,67,0,59,6.9,2,61,55,2.5,1.1,1388826000
16,1.8,0.66,0.19,1.5,14,16,45,134,78,0,61,5.9,2,57,62,1.5,1.4,1388829600
15,1.8,0.79,0.27,1.5,20,22,34,143,83,0,66,5.5,2.1,58,57,1.1,0.7,1388833200
15,1.8,0.64,0.15,1.7,13,15,45,140,90,0,60,5.2,2,72,70,1.6,1.8,1388836800
15,1.8,0.66,0.14,1.4,14,15,38,133,75,0,64,4.6,2,65,79,1.9,1.2,1388840400
14,1.8,0.68,0.15,1.4,15,17,32,121,85,0,65,3.7,2,59,55,1.3,0.9,1388844000
13,1.9,0.65,0.19,1.2,15,16,29,100,82,0,67,3.1,2,9.9,68,1.6,0.7,1388847600
13,1.8,0.59,0.22,1,11,12,30,91,80,0,68,2.8,2.1,50,59,1.2,0.5,1388851200
12,1.9,0.56,0.15,1.3,8.2,9.5,33,82,80,0,68,3.4,2,44,340,1.4,1,1388854800
13,1.9,0.54,0.25,1.3,7.7,9,38,84,76,0,64,4,2.1,20,87,1.9,0.3,1388858400
12,1.8,0.54,0.24,0.5,6.4,6.9,39,83,81,0,66,4.1,2.1,54,16,1.7,0.5,1388862000
12,1.8,0.54,0.21,1,6.1,7.1,40,85,75,0,66,4.5,2.1,334,57,2,0.5,1388865600
12,1.8,0.54,0.16,1,6.3,7.3,40,96,66,0,64,4.5,2,31,24,1.6,0.4,1388869200
12,1.8,0.54,0.1,0.8,6.8,7.6,43,105,70,0,60,4.8,1.9,58,54,3.4,1.6,1388872800
13,1.8,0.52,0.08,1.1,6,7.1,43,98,65,0,56,4.3,1.9,58,60,1.6,1.2,1388876400
14,1.8,0.6,0.13,1.8,13,14,32,83,66,0,59,3.4,2,69,76,1.6,0.7,1388880000
16,1.8,0.54,0.14,2.5,11,14,35,65,57,0,52,2.9,2,82,92,2.2,0.5,1388883600
18,1.8,0.52,0.1,2,8.4,10,45,68,56,0,48,3.8,1.9,327,305,2.2,0.9,1388887200
19,1.8,0.49,0.08,1.5,6.9,8.4,55,70,64,0,43,5.3,1.9,302,283,1.6,1.3,1388890800
20,1.8,0.49,0.08,2.8,15,18,55,82,67,0,40,9.6,1.9,292,333,1.6,1.6,1388894400
21,1.8,0.46,0.07,1.9,9.2,11,66,87,72,0,38,7.3,1.9,325,309,2,0.8,1388898000
21,1.8,0.47,0.08,1.2,7.3,8.5,72,101,64,0,38,5.7,1.9,310,311,2.5,1.7,1388901600
20,1.8,0.47,0.08,0.9,7.5,8.4,72,107,73,0,41,5.9,1.9,309,286,2.7,1,1388905200
19,1.8,0.47,0.08,0.9,9.2,10,68,111,57,0,45,6,1.9,75,65,1.8,0.8,1388908800
17,1.8,0.59,0.13,0.8,16,17,54,110,57,0,51,5.6,2,60,56,1.2,0.7,1388912400
16,1.8,0.5,0.1,0.9,12,13,56,115,53,0,54,5.3,1.9,69,66,3.3,2.1,1388916000
16,1.8,0.48,0.1,1.1,9.2,10,56,109,70,0,55,4.9,1.9,83,92,1.9,2.1,1388919600
15,1.8,0.5,0.1,0.8,10,11,50,97,70,0,60,4,1.9,98,96,1.1,1.5,1388923200
14,1.8,0.51,0.11,1.3,10,12,42,87,60,0,67,2.6,1.9,112,114,2.3,1.8,1388926800
14,1.8,0.44,0.09,0.7,7.8,8.5,41,75,68,0,68,2,1.9,116,111,2.3,1.8,1388930400
13,1.8,0.41,0.08,0.9,6.9,7.7,43,70,66,0,69,1.8,1.9,108,112,2.2,2.2,1388934000
13,1.8,0.43,0.09,0.9,5.7,6.7,47,56,66,0,69,2.2,1.9,109,94,2,2.2,1388937600
13,1.8,0.43,0.09,0.7,5.6,6.4,48,67,55,0,69,2.1,1.9,109,148,1,1.6,1388941200
13,1.8,0.4,0.13,0.7,6.1,6.8,39,62,46,0,69,2.1,2,108,102,1.6,1.5,1388944800
14,1.8,0.41,0.09,0.4,6,6.3,43,64,46,0,69,2.2,1.9,107,95,2,1.7,1388948400
14,1.8,0.41,0.11,0.8,6.3,7.1,43,48,46,0,64,2,1.9,97,118,2.2,1.6,1388952000
15,1.8,0.39,0.08,0.6,5.8,6.4,45,52,42,0,58,1.7,1.9,102,158,1.6,1.6,1388955600
14,1.8,0.4,0.09,0.7,11,12,31,38,35,0,60,2.1,1.9,89,116,3.3,1.3,1388959200
14,1.8,0.57,0.14,1.7,11,13,31,37,35,0,60,1.4,1.9,108,98,1.9,2.2,1388962800
16,1.9,1.35,0.53,20,36,57,9.4,45,40,0,58,5.6,2.4,102,93,0.8,0.4,1388966400
16,1.9,1.25,0.73,29,43,71,5.7,70,45,0,58,5.4,2.6,331,298,1.1,0.4,1388970000
18,1.8,0.75,0.55,11,33,43,22,81,48,0,50,2.9,2.4,0.6,308,1.2,0.4,1388973600
19,1.9,0.97,0.74,9.8,29,39,22,97,57,0,47,5.8,2.6,261,304,2.1,1,1388977200
17,1.9,0.76,0.6,16,42,58,12,97,57,0,58,7.3,2.5,45,44,1.2,0.5,1388980800
20,1.8,0.51,0.2,3.3,16,19,54,93,59,0,41,3.5,2,81,342,1.4,1.3,1388984400
20,1.8,0.53,0.27,7.5,29,36,35,110,62,0,45,9,2.1,312,8,1.8,2,1388988000
19,1.8,0.46,0.22,4.8,30,35,33,101,59,0,51,8.9,2,315,273,1.7,1.4,1388991600
18,1.8,0.55,0.32,2.7,30,32,30,101,61,0,56,4.4,2.2,326,17,1.1,0.7,1388995200
17,1.9,0.77,0.53,3.4,41,44,12,90,50,0,62,4.1,2.4,50,72,0.9,0.6,1388998800
16,1.9,0.88,0.5,9.3,42,52,3.5,85,60,0,69,3,2.4,69,75,0.9,0.5,1389002400
15,1.9,0.66,0.29,2.3,27,29,14,88,62,0,69,2.3,2.2,111,110,1.3,1,1389006000
15,1.9,0.69,0.3,6,26,32,13,75,62,0,69,3.1,2.2,119,94,1.8,0.9,1389009600
15,1.8,0.5,0.16,1,16,17,23,75,50,0,70,1.9,2,104,100,2.2,2,1389013200
15,1.8,0.41,0.11,0.8,9.9,11,28,64,45,0,69,1.4,1.9,105,91,1.9,2.1,1389016800
14,1.8,0.35,0.09,0.7,7.3,7.9,28,68,43,0,71,1.2,1.9,106,112,1.9,1.9,1389020400
14,1.8,0.32,0.07,0.4,5.6,6,32,45,41,0,70,1,1.9,113,107,1.7,2.1,1389024000
14,1.8,0.32,0.09,0.7,5.7,6.4,33,32,32,0,68,1.6,1.9,106,99,2,1.9,1389027600
14,1.8,0.3,0.06,0.8,5,5.7,35,25,35,0,68,1.4,1.9,110,118,2.9,2.4,1389031200
14,1.8,0.29,0.06,0.7,3.5,4.2,35,31,31,0,68,1.4,1.8,113,115,2.4,2.5,1389034800
14,1.8,0.3,0.07,0.8,3.3,4.1,33,45,33,0,68,1.6,1.8,109,110,1.3,2.1,1389038400
14,1.8,0.31,0.08,0.8,4.4,5.2,31,43,25,0,69,1.4,1.8,112,113,1.6,1.8,1389042000
14,1.8,0.37,0.2,1.1,6.7,7.7,27,44,36,0,69,1.5,2,108,107,2.5,1.9,1389045600
14,1.8,0.71,0.22,7.4,15,23,21,34,28,0,67,2.5,2,116,89,1.6,1.6,1389049200
16,1.8,0.97,0.37,20,23,43,18,40,33,0,64,6,2.2,66,36,0.8,1,1389052800
18,1.8,0.7,0.31,5.1,20,25,30,39,29,0,53,15,2.1,36,146,0.7,0.4,1389056400
21,1.8,0.69,0.27,4.1,20,24,51,54,42,0,43,6.7,2.1,231,225,1.7,1.2,1389060000
22,1.8,0.78,0.42,3.1,26,29,71,63,56,0,41,6,2.3,203,202,1.7,1.1,1389063600
23,1.9,0.82,0.37,2.3,26,29,86,85,66,0,37,5.3,2.2,251,272,2,1.3,1389067200
23,1.8,0.65,0.26,1.8,23,25,87,91,78,0,43,4,2.1,285,305,3.4,2.2,1389070800
20,1.8,0.31,0.14,2,14,16,55,99,62,0,70,4.3,1.9,302,304,2.4,2.7,1389074400
19,1.7,0.34,0.18,3.3,25,28,42,100,61,0,72,11,1.9,315,47,1.2,1.6,1389078000
20,1.8,0.43,0.3,1.8,24,26,46,103,47,0,69,5.8,2.1,345,79,0.9,0.4,1389081600
19,1.8,0.65,0.34,1.9,29,31,29,107,54,0,76,4.4,2.1,115,115,2.4,1.8,1389085200
18,1.8,0.58,0.25,1.1,21,22,45,108,57,0,75,3.4,2,110,105,1.6,1.5,1389088800
19,1.8,0.55,0.23,1,18,19,53,106,59,0,71,3,2,113,115,1.5,1,1389092400
17,1.8,0.49,0.19,1,14,15,42,93,61,0,76,2.2,2,108,117,2.3,2.2,1389096000
16,1.8,0.43,0.15,1,11,12,43,87,43,0,74,2,1.9,109,111,2.6,2.3,1389099600
16,1.8,0.42,0.15,1,13,14,41,75,39,0,75,3.3,1.9,107,103,2.4,2.6,1389103200
16,1.8,0.44,0.18,1.2,16,17,36,73,38,0,76,4.2,2,109,97,1.8,1.5,1389106800
15,1.8,0.4,0.15,0.9,10,11,43,73,48,0,76,2.6,1.9,107,108,1.9,1.8,1389110400
15,1.8,0.41,0.14,0.9,8,8.9,53,73,53,0,76,2.5,1.9,111,110,2.5,2.2,1389114000
15,1.8,0.43,0.13,0.8,7.3,8.1,58,80,60,0,76,2.3,2,104,107,2.3,2.1,1389117600
15,1.8,0.41,0.12,0.9,6.3,7.1,53,82,60,0,75,2.1,2,107,104,2.3,1.9,1389121200
15,1.8,0.36,0.1,1.1,5.8,6.9,51,85,52,0,73,2.9,1.9,109,99,1.4,1.7,1389124800
15,1.8,0.37,0.13,1.2,9.4,11,39,68,47,0,72,5.4,1.9,95,101,1.4,1,1389128400
15,1.8,0.46,0.17,1.9,15,17,28,48,45,0,73,6,2,94,67,1.1,0.8,1389132000
16,1.8,0.63,0.24,5.5,17,22,23,38,50,0,71,2.6,2,103,56,1.4,1.3,1389135600
18,1.8,1.27,0.52,28,34,63,11,49,43,0,63,7.3,2.3,74,63,1,0.4,1389139200
21,1.8,0.49,0.18,4.4,18,23,43,61,40,0,50,7.6,1.9,24,53,1.5,0.7,1389142800
22,1.8,0.49,0.14,3,18,22,58,68,42,0,43,9,1.9,16,291,1.5,0.5,1389146400
23,1.7,0.32,0.12,2.4,11,14,57,60,41,0,48,4.1,1.9,307,307,2.7,1.4,1389150000
23,1.7,0.28,0.1,1.7,9,11,54,55,39,0,57,2.8,1.8,306,298,2.3,1.4,1389153600
23,1.7,0.26,0.08,1.5,10,12,51,50,36,0,60,4.2,1.8,303,300,2.2,1.8,1389157200
22,1.8,0.35,0.16,1.6,14,15,56,61,35,0,66,5.5,1.9,311,312,3.7,2.7,1389160800
20,1.7,0.31,0.16,2.4,17,19,45,73,36,0,73,5.4,1.9,298,287,3.5,1.7,1389164400
19,1.7,0.34,0.11,1.9,11,13,49,72,36,0,71,3.6,1.9,82,72,2.3,1.2,1389168000
18,1.8,0.48,0.15,1.2,12,13,46,62,32,0,69,3.6,1.9,63,63,1.7,1.2,1389171600
18,1.8,0.39,0.12,1.1,9,10,46,54,33,0,71,2.7,1.9,55,88,1.8,2.3,1389175200
17,1.8,0.4,0.13,1.3,12,13,35,54,33,0,78,2.7,1.9,76,74,2.6,1,1389178800
16,1.8,0.41,0.16,1.1,11,12,33,52,34,0,78,2.1,1.9,75,85,2.3,1,1389182400
15,1.8,0.48,0.16,1.3,11,12,32,39,21,0,79,2.1,1.9,67,58,2.9,1.3,1389186000
14,1.8,0.55,0.17,1.4,11,12,31,32,15,0,77,2.4,2,79,80,2.8,0.7,1389189600
14,1.8,0.53,0.11,1.3,9.3,11,29,20,13,0,77,2.3,1.9,60,66,3.5,3.2,1389193200
14,1.8,0.49,0.09,1.1,8,9.1,28,17,18,0,75,2.1,1.9,58,62,4.3,3.6,1389196800
13,1.8,0.46,0.08,1.1,7,8,28,17,15,0,74,1.8,1.9,59,70,2.4,3,1389200400
13,1.8,0.41,0.08,1,6.8,7.7,29,12,9,0,74,1.8,1.9,68,63,3.5,1.7,1389204000
13,1.8,0.39,0.07,1.5,5.1,6.6,32,10,9,0,73,1.5,1.8,58,65,4,3.2,1389207600
12,1.8,0.38,0.07,1.3,5,6.3,33,16,14,0,73,1.7,1.8,58,69,2.2,1.8,1389211200
12,1.8,0.36,0.07,1.2,5.4,6.7,35,28,15,0,72,1.8,1.8,69,81,2.4,1.4,1389214800
12,1.8,0.36,0.08,1,6.8,7.8,34,29,20,0,72,2.2,1.9,65,52,3.4,1.8,1389218400
13,1.8,0.4,0.08,1.3,6.9,8.2,33,27,16,0,72,1.8,1.9,59,50,3.8,2.5,1389222000
13,1.8,0.39,0.07,1.4,5.7,7.1,34,21,23,0,70,1.6,1.8,62,72,3.7,3.6,1389225600
14,1.8,0.4,0.09,2.2,6.8,9,31,31,16,0,69,1.7,1.9,74,80,2.1,1.4,1389229200
14,1.8,0.41,0.11,2.5,8.1,11,31,20,17,0,70,1.7,1.9,287,84,2.4,0,1389232800
14,1.8,0.41,0.1,2.8,8.6,11,32,22,9,0,69,1.7,1.9,68,63,3.3,2,1389236400
15,1.8,0.4,0.09,2.3,7.5,9.8,34,20,7,0,66,1.6,1.9,61,187,2.3,2.2,1389240000
15,1.8,0.39,0.09,2.8,8.1,11,34,0,7,0,66,-0.9,1.9,68,57,3.6,2.2,1389243600
15,1.8,0.4,0.15,2.8,8.5,11,34,0,20,0,66,-0.9,1.9,36,94,2.9,0.3,1389247200
14,1.8,0.37,0.1,2.6,9.3,12,32,18,20,0,68,-0.9,1.9,94,83,2.5,1.3,1389250800
13,1.8,0.36,0.13,2.4,12,14,29,18,20,0,71,1.3,1.9,74,87,2.2,1.5,1389254400
12,1.8,0.4,0.16,1.7,13,15,26,19,18,0,74,1.9,1.9,82,73,2,0.9,1389258000
12,1.8,0.35,0.19,1.3,12,13,28,19,18,0,75,2,2,85,87,2.2,1.2,1389261600
12,1.8,0.34,0.12,1.6,10,12,27,23,22,0,75,1.9,1.9,80,76,2.8,1.5,1389265200
12,1.8,0.31,0.07,1.3,6.9,8.2,30,17,15,0,74,1.6,1.8,62,62,2.9,2.4,1389268800
12,1.8,0.3,0.05,1,5.5,6.6,30,12,11,0,74,1.4,1.8,68,70,2.4,1.8,1389272400
12,1.8,0.29,0.05,1.1,5.2,6.3,30,2,1,0,74,1.4,1.8,65,64,2.4,1.9,1389276000
12,1.8,0.28,0.05,1.3,4.2,5.5,29,2,1,0,73,1.3,1.8,59,63,2.3,1.6,1389279600
12,1.8,0.28,0.05,1.4,3.8,5.2,27,5,6,0,73,1.2,1.8,73,63,2.4,1.4,1389283200
12,1.8,0.27,0.04,0.9,3.4,4.3,29,9,7,0,73,1.2,1.8,59,49,1.4,1.6,1389286800
13,1.8,0.26,0.06,1.1,3.2,4.3,27,9,7,0,73,1.3,1.8,58,68,1.9,0.9,1389290400
12,1.8,0.26,0.04,1.7,2.9,4.5,27,3,0,0,74,1.1,1.8,62,56,2.2,1.6,1389294000
13,1.8,0.25,0.04,1.2,2.8,4,28,4,0,0,74,1.1,1.8,63,62,2.3,2,1389297600
13,1.8,0.27,0.09,1.3,4,5.3,25,4,1,0,74,1,1.9,49,58,1.6,0.7,1389301200
13,1.8,0.3,0.07,1.3,6.5,7.8,19,5,1,0,74,1,1.8,52,28,0.9,1,1389304800
13,1.8,0.46,0.15,3.5,13,17,13,1,7,0,73,1.1,1.9,11,335,2,0.3,1389308400
14,1.8,0.41,0.14,4.2,12,16,14,6,7,0,71,1.1,1.9,73,67,2,0.8,1389312000
15,1.8,0.34,0.11,4.4,7.3,12,22,10,8,0,66,1.2,1.9,67,22,2,0.7,1389315600
17,1.8,0.32,0.13,3.2,6,9.1,30,25,4,0,62,1.7,1.9,314,318,2.1,1.5,1389319200
18,1.8,0.33,0.11,2.6,6.6,9.1,38,39,8,0,58,1.9,1.9,312,304,3.4,2.4,1389322800
19,1.8,0.35,0.09,2.5,8.5,11,46,42,12,0,56,2.5,1.9,312,316,2.8,2,1389326400
20,1.8,0.32,0.1,2.4,8.8,11,50,46,19,0,54,1.9,1.9,309,300,3.6,2.6,1389330000
20,1.8,0.3,0.11,2.1,8.2,10,52,40,23,0,55,1.6,1.9,307,287,3.2,2.2,1389333600
19,1.8,0.3,0.13,2.2,10,12,50,37,20,0,57,1.8,1.9,294,284,3.5,1.6,1389337200
18,1.8,0.32,0.18,2.4,13,16,39,39,18,0,61,2.2,2,290,82,2.4,0.9,1389340800
17,1.8,0.45,0.22,2.1,19,21,27,34,15,0,65,1.7,2,61,74,0.8,0.4,1389344400
15,1.8,0.59,0.29,2.6,28,30,12,41,16,0,72,1.2,2.1,90,115,1.6,0.8,1389348000
14,1.8,0.45,0.19,2.3,15,17,17,23,10,0,77,0.7,2,118,117,1.7,1.6,1389351600
14,1.8,0.36,0.15,1.9,11,13,20,27,6,0,79,0.6,1.9,117,118,2,1.8,1389355200
14,1.8,0.38,0.13,1.7,11,12,19,19,11,0,81,0.6,1.9,115,115,2,1.8,1389358800
13,1.8,0.42,0.15,1.8,10,12,21,30,22,0,83,0.5,2,115,105,1.7,1.9,1389362400
13,1.8,0.42,0.16,1.7,9.4,11,21,30,28,0,84,0.4,2,113,104,1.4,1.7,1389366000
13,1.8,0.41,0.17,1.6,9.3,11,19,32,25,0,84,0.4,2,106,104,1.4,1.3,1389369600
